Standardized Median Revenue per Commune,Standardized Median Price per Commune,Standardized Livable Space (m2),Standardized Subtype of Property Score,Standardized State of the Building Score,Standardized PEB Score,Standardized Primary Energy Consumption (kWh/m2),Standardized Surface of the Land (m2),Standardized Construction Year,Standardized Number of Rooms,Standardized Number of Facades
0.25,-0.289,-0.494,-0.565,1.167,-0.075,-0.56,-0.519,0.047,-0.005,0.212
-0.166,-0.473,1.0,-0.285,-0.832,-0.402,0.645,-0.137,-0.844,0.741,0.212
-0.988,0.63,0.023,1.399,1.167,-0.402,-0.659,-0.519,-1.736,-0.005,-0.946
-1.358,-1.024,-0.588,-0.565,-0.832,1.279,-0.741,-0.519,0.2,-0.752,-0.946
-0.864,0.305,1.198,-0.565,-0.832,1.279,-0.807,-0.519,0.174,0.741,-0.946
-0.841,-0.963,-0.982,0.819,-0.832,-1.138,-0.114,-0.519,-0.284,-1.498,-0.946
0.26,-0.657,-0.024,-0.285,-0.832,-0.075,-0.549,-0.184,0.76,-0.005,0.212
-0.154,-0.596,-0.409,-0.285,1.167,0.268,-1.423,-0.328,1.448,-0.005,0.212
-0.395,-1.202,-0.588,-0.565,0.566,-0.075,-0.774,-0.519,0.455,-0.752,-0.946
-0.626,-1.821,-0.728,2.989,1.167,0.521,1.063,0.037,0.276,-0.752,1.37
-1.358,-1.024,-1.085,-0.565,-0.832,0.521,0.221,-0.519,0.353,-1.498,-0.946
-5.352,0.446,0.878,-0.565,1.167,-0.075,-0.928,-0.519,0.684,-0.005,0.212
0.246,0.998,-0.7,-0.565,-0.832,1.279,-0.252,-0.519,0.047,-0.752,-0.946
0.558,-0.442,-0.418,-0.285,1.167,-0.075,-0.483,-0.19,1.066,-0.005,1.37
-0.481,-0.473,-0.606,-0.565,-0.832,-0.075,-0.769,-0.519,0.862,-0.752,-0.946
0.84,0.14,-0.118,-0.285,0.021,-0.402,0.26,0.658,0.047,-0.005,0.212
0.555,2.162,-0.165,2.989,0.021,1.279,-0.164,0.831,0.837,0.741,1.37
0.932,0.196,-0.484,1.399,1.167,-0.075,-0.488,-0.519,0.862,-0.005,0.212
0.394,-0.044,0.117,-0.285,1.167,1.279,-0.021,-0.096,-0.946,-0.005,-0.946
