Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Berloz,4257,house,250000,3,160,1,0,1,25,1,200,0,370,2,1938,3,298,3,197500,32629,1562,29802.14056563951,28758.51106301106,28222.31623931624
Roeselare,8800,house,269000,2,131,0,0,0,0,0,0,0,426,4,1938,2,460,5,238106,28720,2053,29802.14056563951,28486.412584912407,27576.145009416196
Koksijde,8670,apartment,295000,2,65,1,1,1,5,0,0,0,0,2,1964,4,296,5,300000,30348,4538,26803.13784722222,28486.412584912407,29068.10478029937
Nivelles,1400,villa,575000,4,290,1,0,1,130,1,400,0,1130,4,2010,5,96,5,260000,28900,1982,30737.61626429479,28486.412584912407,29446.861588481188
Wavre,1300,apartment,210000,2,70,1,0,1,8,0,0,0,0,2,1969,3,333,2,310000,28507,3000,26803.13784722222,28791.728096676736,28222.31623931624
Vilvoorde,1800,house,349000,3,165,0,0,1,13,1,80,0,169,3,1959,2,429,1,300000,29017,2115,29802.14056563951,28927.5390070922,27576.145009416196
Jette,1090,apartment,200000,3,70,0,0,0,0,0,0,0,0,2,1971,0,735,3,235000,24171,2857,26803.13784722222,28758.51106301106,25195.411320754716
Vosselaar,2350,apartment,189000,1,84,0,0,0,0,0,0,0,0,2,1994,4,216,3,369000,33725,2250,26803.13784722222,28758.51106301106,29068.10478029937
Liege,4000,house,99000,2,95,1,0,1,15,0,0,0,130,3,1950,4,204,1,170000,22738,1042,29802.14056563951,28927.5390070922,29068.10478029937
Forest,1190,apartment,240000,2,80,1,0,1,14,0,0,0,0,4,1979,5,75,3,280000,22908,3000,26803.13784722222,28758.51106301106,29446.861588481188
Schoten,2900,house,795000,2,400,1,0,0,0,0,0,0,1970,4,1985,3,322,1,330550,31175,1987,29802.14056563951,28927.5390070922,28222.31623931624
Oostende,8400,villa,875000,6,308,0,0,0,0,0,0,0,954,4,2009,5,117,5,235000,25991,2840,30737.61626429479,28486.412584912407,29446.861588481188
Westerlo,2260,house,269000,3,235,0,0,0,0,0,0,0,1374,4,1968,1,982,1,290000,31616,1144,29802.14056563951,28927.5390070922,29144.322250639387
Ohain,1380,house,845000,4,372,1,0,0,0,1,900,0,1735,4,1992,4,213,5,625000,32121,2271,29802.14056563951,28486.412584912407,29068.10478029937
Arlon,6700,house,350000,3,224,0,0,0,0,0,0,0,890,3,1959,4,183,3,286500,34008,1562,29802.14056563951,28758.51106301106,29068.10478029937
Woluwe-saint-pierre,1150,house,850000,4,520,1,0,1,20,0,0,0,388,3,1963,1,287,3,465000,29516,1634,29802.14056563951,28758.51106301106,29144.322250639387
Molenbeek-saint-jean,1080,apartment,207000,1,67,1,1,1,15,0,0,0,0,2,1975,2,269,3,215000,21062,3089,26803.13784722222,28758.51106301106,27576.145009416196
Turnhout,2300,apartment,190000,3,118,0,0,0,0,0,0,0,0,3,1972,4,262,2,250000,27404,1610,26803.13784722222,28791.728096676736,29068.10478029937
Landen,3400,apartment,175000,2,80,1,0,1,6,0,0,0,0,2,1977,5,169,3,230000,32526,2187,26803.13784722222,28758.51106301106,29446.861588481188
Tervuren,3080,house,320000,4,135,1,0,1,21,0,0,0,203,2,1931,1,851,1,492000,34270,2370,29802.14056563951,28927.5390070922,29144.322250639387
Lint,2547,apartment,239000,3,98,0,0,0,0,0,0,0,0,3,1975,5,127,3,370000,34512,2438,26803.13784722222,28758.51106301106,29446.861588481188
Lebbeke,9280,apartment,398500,4,225,1,0,1,11,0,0,0,0,3,1994,4,298,3,270000,31547,1771,26803.13784722222,28758.51106301106,29068.10478029937
Berlare,9290,penthouse,1325000,2,320,1,0,1,106,0,0,0,0,4,2014,5,168,3,306750,30292,4140,25996.018604651163,28758.51106301106,29446.861588481188
Turnhout,2300,house,369000,4,198,0,0,0,0,0,0,0,791,4,1963,3,358,3,250000,27404,1863,29802.14056563951,28758.51106301106,28222.31623931624
Seraing,4101,house,109900,5,140,1,0,0,0,0,0,0,53,2,1900,2,346,2,164500,23333,785,29802.14056563951,28791.728096676736,27576.145009416196
Dehaan,8420,house,699000,3,223,0,0,0,0,0,0,0,644,4,2006,5,190,5,260000,28811,3134,29802.14056563951,28486.412584912407,29446.861588481188
Aalst,9300,apartment,199000,1,72,0,0,0,0,0,0,0,0,2,1969,4,226,3,265000,29669,2763,26803.13784722222,28758.51106301106,29068.10478029937
Zottegem,9620,house,255000,3,110,0,0,0,0,1,567,0,853,3,1972,2,466,3,260000,32118,2318,29802.14056563951,28758.51106301106,27576.145009416196
Ingelmunster,8770,house,299000,3,144,0,0,0,0,0,0,0,322,3,2001,5,151,3,252500,30218,2076,29802.14056563951,28758.51106301106,29446.861588481188
Gentinnes,1450,villa,360000,3,90,0,0,1,10,1,766,0,888,4,1979,5,102,5,400000,32404,4000,30737.61626429479,28486.412584912407,29446.861588481188
Forest,1190,house,850000,5,250,1,0,1,23,1,57,0,180,2,1923,0,470,1,280000,22908,3400,29802.14056563951,28927.5390070922,25195.411320754716
Liege,4000,apartment,180000,1,76,1,0,0,0,0,0,0,0,2,1950,3,264,5,170000,22738,2368,26803.13784722222,28486.412584912407,28222.31623931624
Zwijndrecht,2070,apartment,312000,2,105,1,0,1,13,0,0,0,0,3,2006,6,89,5,280000,31143,2971,26803.13784722222,28486.412584912407,29468.910848549946
Mol,2400,apartment,219000,1,53,1,0,0,0,1,61,0,0,2,2020,5,147,3,268000,30380,4132,26803.13784722222,28758.51106301106,29446.861588481188
De-panne,8660,penthouse,399000,1,44,1,1,1,37,0,0,0,0,4,1982,4,283,5,227000,26096,9068,25996.018604651163,28486.412584912407,29068.10478029937
Verviers,4800,flat-studio,89000,1,58,1,0,1,2,0,0,0,0,4,1995,4,180,3,193250,23329,1534,25140.745098039217,28758.51106301106,29068.10478029937
Bruxelles,1180,house,830000,5,270,0,0,1,20,0,0,0,190,2,1934,2,227,3,390000,26467,3074,29802.14056563951,28758.51106301106,27576.145009416196
Turnhout,2300,house,469000,3,195,1,0,1,25,1,500,0,741,4,2002,5,166,5,250000,27404,2405,29802.14056563951,28486.412584912407,29446.861588481188
Rochefort,5580,house,179000,4,146,1,0,1,60,1,161,0,161,2,1950,3,271,3,172500,26283,1226,29802.14056563951,28758.51106301106,28222.31623931624
Ixelles,1050,flat-studio,180000,1,43,0,0,0,0,0,0,0,0,2,1936,0,416,3,350000,23014,4186,25140.745098039217,28758.51106301106,25195.411320754716
Koekelberg,1081,apartment,280000,3,120,0,0,1,8,0,0,0,0,2,1988,0,471,2,230000,22526,2333,26803.13784722222,28791.728096676736,25195.411320754716
Lalouvicaresaint-vaast,7100,house,355000,3,120,1,0,0,0,0,0,0,784,4,1978,3,327,5,155000,23915,2958,29802.14056563951,28486.412584912407,28222.31623931624
Tervuren,3080,house,365000,3,103,1,0,1,10,0,0,0,275,2,1890,3,327,1,492000,34270,3543,29802.14056563951,28927.5390070922,28222.31623931624
Wommelgem,2160,house,764000,4,245,1,0,1,29,1,270,0,561,3,2019,6,33,5,362000,31223,3118,29802.14056563951,28486.412584912407,29468.910848549946
Maaseik,3680,house,439000,4,190,1,0,0,0,1,872,0,872,4,1938,5,158,5,250000,29364,2310,29802.14056563951,28486.412584912407,29446.861588481188
Wortegem,9790,villa,790000,4,350,0,0,0,0,0,0,0,2396,4,1969,2,450,2,342000,33749,2257,30737.61626429479,28791.728096676736,27576.145009416196
Amay,4540,house,280000,3,160,1,0,1,27,1,800,0,1323,4,1966,1,463,3,200000,27135,1750,29802.14056563951,28758.51106301106,29144.322250639387
Huy,4500,house,179000,3,99,0,0,1,21,0,0,0,250,3,1930,0,680,3,196000,24184,1808,29802.14056563951,28758.51106301106,25195.411320754716
Jette,1090,apartment,229000,2,75,1,0,1,2,0,0,0,0,2,1968,3,196,5,235000,24171,3053,26803.13784722222,28486.412584912407,28222.31623931624
Ixelles,1050,apartment,240000,1,50,1,0,0,0,0,0,0,0,2,1949,2,257,3,350000,23014,4800,26803.13784722222,28758.51106301106,27576.145009416196
Gent,9000,house,587000,4,200,0,0,0,0,0,0,0,51,2,1931,2,493,2,335000,27801,2935,29802.14056563951,28791.728096676736,27576.145009416196
Libramont-chevigny,6800,apartment,210000,2,80,1,0,0,0,0,0,0,0,2,2016,5,145,5,224500,27968,2625,26803.13784722222,28486.412584912407,29446.861588481188
Braine-lalleud,1420,house,649000,4,244,1,0,1,23,0,0,0,264,2,2024,6,47,5,360000,30512,2659,29802.14056563951,28486.412584912407,29468.910848549946
Rochefort,5580,apartment,219000,2,84,1,0,0,0,0,0,0,0,2,2010,5,89,3,172500,26283,2607,26803.13784722222,28758.51106301106,29446.861588481188
Zoersel,2980,villa,475000,4,271,1,0,0,0,0,0,0,798,4,1975,4,209,3,425000,33080,1752,30737.61626429479,28758.51106301106,29068.10478029937
Brugge,8000,ground-floor,295000,2,110,1,1,0,0,0,0,0,0,2,2004,4,254,3,310000,29506,2681,28347.043859649122,28758.51106301106,29068.10478029937
Saint-georges-sur-meuse,4470,house,189000,2,141,1,0,0,0,1,639,0,812,3,1899,1,484,1,220000,27858,1340,29802.14056563951,28927.5390070922,29144.322250639387
Namur,5000,apartment,269000,1,70,1,0,1,30,0,0,0,0,4,2023,6,84,5,250000,26345,3842,26803.13784722222,28486.412584912407,29468.910848549946
Ixelles,1050,house,1620000,4,537,0,0,0,0,1,54,0,177,1,1911,3,35,3,350000,23014,3016,29802.14056563951,28758.51106301106,28222.31623931624
Boom,2850,apartment,235000,2,125,1,0,1,13,0,0,0,0,2,1992,4,251,5,258000,27780,1880,26803.13784722222,28486.412584912407,29068.10478029937
Diest,3290,house,325000,3,200,1,0,0,0,0,0,0,265,2,1918,4,259,3,275000,31304,1625,29802.14056563951,28758.51106301106,29068.10478029937
Aarlen,6700,apartment,180000,1,55,1,0,0,0,0,0,0,0,2,2007,5,146,3,286500,34008,3272,26803.13784722222,28758.51106301106,29446.861588481188
Hulshouthoutvenne,2235,house,649000,3,223,1,0,0,0,0,0,0,495,3,2012,6,87,5,312500,30927,2910,29802.14056563951,28486.412584912407,29468.910848549946
Liege,4000,apartment,199000,2,100,1,0,1,6,0,0,0,0,2,1975,5,159,5,170000,22738,1990,26803.13784722222,28486.412584912407,29446.861588481188
Woluwe-saint-lambert,1200,apartment,259000,1,74,0,0,1,3,0,0,0,0,2,1957,0,532,2,369000,27210,3500,26803.13784722222,28791.728096676736,25195.411320754716
Nivelles,1400,apartment,178000,2,98,1,0,1,10,0,0,0,0,2,1976,5,145,3,260000,28900,1816,26803.13784722222,28758.51106301106,29446.861588481188
Balen,2490,house,289000,4,196,0,0,0,0,0,0,0,720,4,1954,1,669,2,267000,31503,1474,29802.14056563951,28791.728096676736,29144.322250639387
Houthulst,8650,house,335000,3,272,0,0,0,0,0,0,0,1666,4,1977,4,288,3,240250,28591,1231,29802.14056563951,28758.51106301106,29068.10478029937
Heist-aan-zee,8301,house,445000,3,236,1,0,1,12,0,0,0,227,2,1984,5,169,2,592500,28601,1885,29802.14056563951,28791.728096676736,29446.861588481188
Boom,2850,house,275000,3,120,0,0,1,7,1,23,0,100,2,1932,4,243,3,258000,27780,2291,29802.14056563951,28758.51106301106,29068.10478029937
Aalst,9300,triplex,275000,3,175,1,0,1,10,0,0,0,0,3,2002,5,120,5,265000,29669,1571,27681.928571428572,28486.412584912407,29446.861588481188
Machelen,1830,ground-floor,335000,2,98,1,0,1,10,1,50,0,0,2,2005,5,115,3,312500,28317,3418,28347.043859649122,28758.51106301106,29446.861588481188
Orp-jauche,1350,house,200000,3,135,1,0,0,0,0,0,0,781,4,1874,2,421,1,279000,30353,1481,29802.14056563951,28927.5390070922,27576.145009416196
Heusden,9070,house,998000,7,980,0,0,0,0,0,0,0,3040,4,1968,4,293,1,400000,34306,1018,29802.14056563951,28927.5390070922,29068.10478029937
Erpe-mere,9420,house,259000,2,177,1,0,0,0,0,0,0,360,4,1957,2,475,2,287580,32874,1463,29802.14056563951,28791.728096676736,27576.145009416196
Gent,9000,apartment,269000,1,76,1,0,0,0,0,0,0,0,2,1969,5,122,3,335000,27801,3539,26803.13784722222,28758.51106301106,29446.861588481188
Deinze,9800,house,325000,3,216,0,0,0,0,0,0,0,468,4,1939,1,833,1,320500,31900,1504,29802.14056563951,28927.5390070922,29144.322250639387
Opwijk,1745,house,265000,3,118,1,0,0,0,0,0,0,329,3,1960,1,972,2,315000,33533,2245,29802.14056563951,28791.728096676736,29144.322250639387
Petegem-aan-de-leie,9800,villa,580000,3,182,1,0,0,0,0,0,0,1157,4,2004,4,227,5,320500,31900,3186,30737.61626429479,28486.412584912407,29068.10478029937
Nieuwpoort,8620,apartment,420000,3,71,1,0,0,0,0,0,0,0,2,2002,4,273,5,260000,27342,5915,26803.13784722222,28486.412584912407,29068.10478029937
Ninove,9400,villa,309000,3,211,0,0,0,0,0,0,0,868,4,1955,1,623,1,260000,29589,1464,30737.61626429479,28927.5390070922,29144.322250639387
