Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Ixelles,1050,flat-studio,169000,1,39,0,0,0,0,0,0,0,0,2,1967,3,181,1,350000,23014,4333,25140.745098039217,28927.5390070922,28222.31623931624
Woluwe-saint-pierre,1150,penthouse,525000,3,136,1,0,1,5,0,0,0,0,2,1992,4,147,2,465000,29516,3860,25996.018604651163,28791.728096676736,29068.10478029937
Esneux,4130,house,525000,3,182,0,0,0,0,0,0,0,600,4,2010,5,170,5,210000,31003,2884,29802.14056563951,28486.412584912407,29446.861588481188
Evergem,9940,house,385000,3,140,0,0,0,0,0,0,0,353,4,1981,4,243,5,337500,33011,2750,29802.14056563951,28486.412584912407,29068.10478029937
Sint-niklaas,9100,apartment,379000,2,267,1,0,1,45,0,0,0,0,2,1925,6,91,4,265000,28267,1419,26803.13784722222,28224.02819956616,29468.910848549946
Gent,9000,house,415000,5,181,1,0,1,33,0,0,0,125,2,1936,5,188,2,335000,27801,2292,29802.14056563951,28791.728096676736,29446.861588481188
Kapellen,2950,house,1585000,5,457,0,0,0,0,0,0,0,4000,4,2021,6,79,5,365250,33995,3468,29802.14056563951,28486.412584912407,29468.910848549946
Geel,2440,house,230000,3,155,0,1,0,0,0,0,0,244,3,1977,1,507,2,270000,30648,1483,29802.14056563951,28791.728096676736,29144.322250639387
Molenbeek-saint-jean,1080,apartment,470000,5,168,1,0,1,14,0,0,0,0,2,2009,5,94,3,215000,21062,2797,26803.13784722222,28758.51106301106,29446.861588481188
Niel,2845,house,239000,3,175,0,0,0,0,0,0,0,245,2,1962,2,430,1,255000,31517,1365,29802.14056563951,28927.5390070922,27576.145009416196
Arlon,6700,apartment,280000,3,89,1,0,0,0,0,0,0,0,2,2005,5,139,3,286500,34008,3146,26803.13784722222,28758.51106301106,29446.861588481188
Saint-gilles,1060,apartment,275000,3,135,1,0,0,0,0,0,0,0,2,1930,0,361,1,291000,20648,2037,26803.13784722222,28927.5390070922,25195.411320754716
La-hulpe,1310,villa,575000,4,190,1,0,1,25,0,0,0,645,4,1970,3,279,3,450000,29267,3026,30737.61626429479,28758.51106301106,28222.31623931624
Jodoigne,1370,house,419000,5,165,1,0,0,0,0,0,0,2124,4,1970,3,261,5,282500,28112,2539,29802.14056563951,28486.412584912407,28222.31623931624
Heist-op-den-berg,2220,house,299000,2,194,1,0,0,0,0,0,0,360,2,1967,1,520,1,325000,30714,1541,29802.14056563951,28927.5390070922,29144.322250639387
Oostende,8400,villa,549000,2,260,1,0,1,18,1,400,0,582,4,1994,4,221,5,235000,25991,2111,30737.61626429479,28486.412584912407,29068.10478029937
Glabais,1473,house,270000,2,110,1,0,0,0,1,210,0,463,3,1850,1,471,1,375000,31074,2454,29802.14056563951,28927.5390070922,29144.322250639387
Oudenaarde,9700,house,349000,3,193,0,0,1,20,0,0,0,259,2,2009,5,165,3,275000,30647,1808,29802.14056563951,28758.51106301106,29446.861588481188
Juprelle,4450,house,119000,1,62,1,0,0,0,0,0,0,40,2,1918,3,257,5,250000,31513,1919,29802.14056563951,28486.412584912407,28222.31623931624
Tremelo,3120,house,639000,3,180,0,0,0,0,0,0,0,887,4,2009,5,173,5,361000,32139,3550,29802.14056563951,28486.412584912407,29446.861588481188
Uccle,1180,penthouse,1395000,4,287,1,0,1,70,0,0,0,0,2,1968,3,192,5,390000,26467,4860,25996.018604651163,28486.412584912407,28222.31623931624
Oostende,8400,house,269000,3,162,0,0,0,0,0,0,0,134,2,1930,4,228,3,235000,25991,1660,29802.14056563951,28758.51106301106,29068.10478029937
Gent,9000,apartment,295000,2,90,1,0,1,10,0,0,0,0,2,1970,5,107,5,335000,27801,3277,26803.13784722222,28486.412584912407,29446.861588481188
Rixensart,1330,villa,495000,2,120,1,0,0,0,0,0,0,645,4,1939,3,331,4,450000,29985,4125,30737.61626429479,28224.02819956616,28222.31623931624
Liege,4000,house,169000,3,92,1,0,1,8,0,0,0,60,2,1930,4,241,3,170000,22738,1836,29802.14056563951,28758.51106301106,29068.10478029937
Etterbeek,1040,apartment,1450000,4,335,1,0,0,0,0,0,0,0,3,1910,2,268,4,323500,23665,4328,26803.13784722222,28224.02819956616,27576.145009416196
Herselt,2230,house,265000,5,130,1,0,0,0,0,0,0,800,4,1954,1,952,1,285000,31204,2038,29802.14056563951,28927.5390070922,29144.322250639387
Wuustwezel,2990,house,439000,4,224,1,0,1,42,0,0,0,239,2,1997,5,193,3,346000,30687,1959,29802.14056563951,28758.51106301106,29446.861588481188
Uccle,1180,house,595000,3,169,0,0,1,19,1,140,0,262,2,1965,0,391,1,390000,26467,3520,29802.14056563951,28927.5390070922,25195.411320754716
Mechelen,2800,house,320000,4,153,1,0,0,0,1,37,0,125,2,1930,3,321,4,312500,29870,2091,29802.14056563951,28224.02819956616,28222.31623931624
Frameries,7080,house,185000,4,250,0,0,1,820,1,50,0,820,3,1940,0,611,3,145000,24261,740,29802.14056563951,28758.51106301106,25195.411320754716
Blankenberge,8370,apartment,205000,1,55,1,1,0,0,0,0,0,0,2,1998,5,107,3,235000,25711,3727,26803.13784722222,28758.51106301106,29446.861588481188
Poperinge,8970,apartment,269000,2,169,1,0,1,8,0,0,0,0,4,1980,4,216,2,242750,27485,1591,26803.13784722222,28791.728096676736,29068.10478029937
Willebroek,2830,house,170000,2,113,0,0,0,0,0,0,0,283,4,1930,1,661,1,286750,29939,1504,29802.14056563951,28927.5390070922,29144.322250639387
Vilvoorde,1800,house,250000,2,100,0,0,1,10,0,0,0,50,2,1900,5,187,3,300000,29017,2500,29802.14056563951,28758.51106301106,29446.861588481188
Mechelen,2800,house,319500,3,145,1,0,1,20,1,150,0,260,2,1955,4,250,1,312500,29870,2203,29802.14056563951,28927.5390070922,29068.10478029937
Montigny-le-tilleul,6110,villa,849000,3,175,1,0,0,0,0,0,1,1051,4,2017,5,114,3,244500,30302,4851,30737.61626429479,28758.51106301106,29446.861588481188
Willebroek,2830,house,399000,5,242,0,0,0,0,1,561,0,750,4,1968,3,356,3,286750,29939,1648,29802.14056563951,28758.51106301106,28222.31623931624
Sint-pauwels,9170,house,265000,3,164,0,0,0,0,0,0,0,221,4,1955,4,289,3,330000,31678,1615,29802.14056563951,28758.51106301106,29068.10478029937
Waterloo,1410,house,425000,3,145,0,0,1,20,1,600,0,759,3,1955,1,453,1,475000,31143,2931,29802.14056563951,28927.5390070922,29144.322250639387
Schaerbeek,1030,house,795000,5,270,1,0,0,0,0,0,0,170,2,1930,2,274,3,275000,21912,2944,29802.14056563951,28758.51106301106,27576.145009416196
Gooik,1755,house,295000,2,201,0,0,0,0,0,0,0,399,4,1954,2,416,2,415000,33404,1467,29802.14056563951,28791.728096676736,27576.145009416196
Wijer,3850,house,269000,3,200,1,0,0,0,0,0,0,800,3,1960,1,783,3,288750,30694,1345,29802.14056563951,28758.51106301106,29144.322250639387
Bredene,8450,duplex,375000,3,118,0,0,0,0,0,0,0,0,2,2002,4,239,5,247000,30047,3177,27281.282442748092,28486.412584912407,29068.10478029937
Wasseiges,4219,house,309000,4,213,1,0,1,20,1,967,0,1080,3,2009,5,124,4,185000,28265,1450,29802.14056563951,28224.02819956616,29446.861588481188
Gent,9000,house,195000,3,116,1,0,1,22,0,0,0,116,2,1940,2,425,1,335000,27801,1681,29802.14056563951,28927.5390070922,27576.145009416196
Herent,3020,house,475000,3,196,0,0,0,0,0,0,0,293,3,1969,3,349,3,380000,36516,2423,29802.14056563951,28758.51106301106,28222.31623931624
Sambreville-tamines,5060,house,245000,2,100,1,0,0,0,1,300,0,360,3,1950,2,424,3,190000,25634,2450,29802.14056563951,28758.51106301106,27576.145009416196
Wetteren,9230,house,199500,2,150,0,0,1,45,1,45,0,140,3,1918,2,459,3,280000,30041,1330,29802.14056563951,28758.51106301106,27576.145009416196
Edegem,2650,ground-floor,249500,2,90,1,0,0,0,0,0,0,0,2,1976,4,233,3,339900,34133,2772,28347.043859649122,28758.51106301106,29068.10478029937
Bruxelles,1000,apartment,415000,1,123,1,0,1,5,0,0,0,0,2,1995,3,172,3,275000,21541,3373,26803.13784722222,28758.51106301106,28222.31623931624
Flcamalle,4400,house,125000,6,178,0,0,1,30,1,330,0,560,3,1900,2,409,1,190000,26199,702,29802.14056563951,28927.5390070922,27576.145009416196
Antwerpen,2000,penthouse,1299000,3,134,0,0,1,102,0,0,0,0,4,2024,6,62,5,260000,25683,9694,25996.018604651163,28486.412584912407,29468.910848549946
Lille,2275,house,425000,3,167,0,0,0,0,0,0,0,2017,3,1976,1,627,1,320000,31754,2544,29802.14056563951,28927.5390070922,29144.322250639387
Hechtel-eksel,3941,house,569000,4,257,1,0,0,0,0,0,0,1376,4,1987,5,194,5,269000,31574,2214,29802.14056563951,28486.412584912407,29446.861588481188
Ninove,9400,apartment,295000,2,85,1,0,1,8,0,0,0,0,3,2004,5,110,5,260000,29589,3470,26803.13784722222,28486.412584912407,29446.861588481188
Uccle,1180,villa,1990000,4,412,0,0,1,50,1,700,0,1047,4,1951,3,203,3,390000,26467,4830,30737.61626429479,28758.51106301106,28222.31623931624
Hulshout,2235,penthouse,320000,3,130,1,0,1,30,0,0,0,0,3,2005,5,175,3,312500,30927,2461,25996.018604651163,28758.51106301106,29446.861588481188
Herstal,4040,house,235000,3,91,1,0,0,0,0,0,0,208,2,1969,3,300,5,170000,24271,2582,29802.14056563951,28486.412584912407,28222.31623931624
Mechelen,2800,house,299000,3,128,0,0,0,0,0,0,0,470,3,1930,1,914,1,312500,29870,2335,29802.14056563951,28927.5390070922,29144.322250639387
Herent,3020,villa,625000,4,201,0,0,1,80,0,0,0,847,4,1990,5,198,5,380000,36516,3109,30737.61626429479,28486.412584912407,29446.861588481188
Hooglede,8830,house,255000,2,122,0,0,1,20,1,173,0,305,3,1957,1,654,3,318750,30713,2090,29802.14056563951,28758.51106301106,29144.322250639387
Willebroek,2830,house,249000,2,138,0,0,0,0,0,0,0,119,3,1890,6,93,3,286750,29939,1804,29802.14056563951,28758.51106301106,29468.910848549946
Sint-truiden,3800,apartment,135000,1,45,1,0,0,0,0,0,0,0,2,1991,5,149,3,239000,28162,3000,26803.13784722222,28758.51106301106,29446.861588481188
Turnhout,2300,apartment,169000,2,82,0,0,0,0,0,0,0,0,2,1975,4,282,3,250000,27404,2060,26803.13784722222,28758.51106301106,29068.10478029937
Schaerbeek,1030,apartment,269000,2,105,0,0,0,0,0,0,0,0,3,1958,1,300,1,275000,21912,2561,26803.13784722222,28927.5390070922,29144.322250639387
Schaerbeek,1030,apartment,195000,2,57,1,0,0,0,0,0,0,0,2,1913,3,174,3,275000,21912,3421,26803.13784722222,28758.51106301106,28222.31623931624
Vosselaar,2350,house,299000,3,295,0,0,0,0,0,0,0,624,3,1960,1,526,1,369000,33725,1013,29802.14056563951,28927.5390070922,29144.322250639387
Molenbeek-saint-jean,1080,apartment,215000,2,75,1,0,0,0,0,0,0,0,2,1967,3,161,2,215000,21062,2866,26803.13784722222,28791.728096676736,28222.31623931624
Licge,4000,apartment,221000,1,62,0,0,0,0,0,0,0,0,4,2024,6,50,5,170000,22738,3564,26803.13784722222,28486.412584912407,29468.910848549946
Mouscron,7700,apartment,219000,3,120,1,0,1,23,0,0,0,0,2,2000,5,100,3,173500,24752,1825,26803.13784722222,28758.51106301106,29446.861588481188
Gerpinnes,6280,triplex,189000,2,76,0,0,1,17,0,0,0,0,3,2015,6,81,5,275000,30371,2486,27681.928571428572,28486.412584912407,29468.910848549946
Sint-lievens-houtem,9520,house,499000,4,270,1,0,0,0,0,0,0,3640,4,1982,3,363,3,341157,33188,1848,29802.14056563951,28758.51106301106,28222.31623931624
Forest,1190,apartment,250000,1,70,1,0,1,15,1,93,0,0,2,1919,1,322,3,280000,22908,3571,26803.13784722222,28758.51106301106,29144.322250639387
Morkhoven,2200,house,339000,2,111,0,0,0,0,0,0,0,823,3,1965,5,185,3,274000,29831,3054,29802.14056563951,28758.51106301106,29446.861588481188
Jette,1090,apartment,445000,4,197,1,0,1,27,0,0,0,0,2,1970,3,158,3,235000,24171,2258,26803.13784722222,28758.51106301106,28222.31623931624
Geraardsbergen,9500,house,299999,3,167,1,0,0,0,1,895,0,1050,2,1938,3,375,3,238500,29578,1796,29802.14056563951,28758.51106301106,28222.31623931624
Pont-ca-celles,6230,town-house,169000,1,91,1,0,0,0,1,42,0,100,2,1972,2,419,3,231500,29956,1857,28801.766233766233,28758.51106301106,27576.145009416196
Ixelles,1050,apartment,395000,2,82,0,0,1,3,0,0,0,0,2,1935,2,228,3,350000,23014,4817,26803.13784722222,28758.51106301106,27576.145009416196
Roeselare,8800,house,149000,4,218,0,0,0,0,1,70,0,180,2,1930,1,649,1,238106,28720,683,29802.14056563951,28927.5390070922,29144.322250639387
Aalst,9300,penthouse,549000,4,180,1,0,1,15,0,0,0,0,2,2000,5,123,3,265000,29669,3050,25996.018604651163,28758.51106301106,29446.861588481188
Rupelmonde,9150,house,415000,4,324,1,0,0,0,0,0,0,720,4,1967,3,323,2,275000,31455,1280,29802.14056563951,28791.728096676736,28222.31623931624
Molenbeek-saint-jean,1080,penthouse,207000,1,67,1,1,1,15,0,0,0,0,2,1975,2,269,3,215000,21062,3089,25996.018604651163,28758.51106301106,27576.145009416196
Lier,2500,duplex,385000,3,118,1,0,1,24,0,0,0,0,3,2019,6,74,3,290000,29623,3262,27281.282442748092,28758.51106301106,29468.910848549946
Oudenaarde,9700,penthouse,515000,3,130,1,0,1,25,0,0,0,0,4,2012,5,135,5,275000,30647,3961,25996.018604651163,28486.412584912407,29446.861588481188
Kapellen,2950,apartment,259000,2,91,1,0,1,4,0,0,0,0,2,1977,5,188,3,365250,33995,2846,26803.13784722222,28758.51106301106,29446.861588481188
Bruxelles,1000,apartment,327000,3,118,1,0,1,37,0,0,0,0,4,2024,6,30,5,275000,21541,2771,26803.13784722222,28486.412584912407,29468.910848549946
Kortrijk,8500,penthouse,790000,2,181,1,0,0,0,1,300,1,0,3,2010,4,214,5,265000,28248,4364,25996.018604651163,28486.412584912407,29068.10478029937
Vichte,8570,apartment,239000,2,102,1,0,0,0,0,0,0,0,4,2001,5,166,3,280000,32600,2343,26803.13784722222,28758.51106301106,29446.861588481188
Arlon,6700,house,225000,4,186,0,0,1,1,1,1,0,150,2,1920,2,380,2,286500,34008,1209,29802.14056563951,28791.728096676736,27576.145009416196
Roeselare,8800,house,115000,4,95,0,0,0,0,0,0,0,58,2,1919,3,313,5,238106,28720,1210,29802.14056563951,28486.412584912407,28222.31623931624
Malle,2390,house,990000,3,233,0,0,1,24,0,0,0,1236,4,2020,6,18,5,353800,30447,4248,29802.14056563951,28486.412584912407,29468.910848549946
Oorbeek,3300,house,219000,3,200,0,0,0,0,1,250,0,480,4,1926,1,706,1,249000,29289,1095,29802.14056563951,28927.5390070922,29144.322250639387
Sint-jans-molenbeek,1080,apartment,255000,2,90,1,0,1,6,0,0,0,0,4,2008,5,86,3,215000,21062,2833,26803.13784722222,28758.51106301106,29446.861588481188
Middelkerke,8430,apartment,350000,1,59,1,1,0,0,0,0,0,0,2,1967,5,155,3,200000,27292,5932,26803.13784722222,28758.51106301106,29446.861588481188
Ronse,9600,house,385000,4,347,0,0,0,0,0,0,0,1490,2,1976,4,218,2,203500,25716,1109,29802.14056563951,28791.728096676736,29068.10478029937
Middelkerke,8430,flat-studio,140000,1,54,1,1,0,0,0,0,0,0,2,1968,5,196,3,200000,27292,2592,25140.745098039217,28758.51106301106,29446.861588481188
Tremelo,3120,house,305000,2,125,0,0,1,8,0,0,0,339,4,1952,2,480,5,361000,32139,2440,29802.14056563951,28486.412584912407,27576.145009416196
Arlon,6700,house,580000,5,347,1,0,0,0,1,32,0,424,2,1937,4,203,3,286500,34008,1671,29802.14056563951,28758.51106301106,29068.10478029937
Gavere,9890,house,365000,3,171,1,0,1,9,1,15,0,195,2,2021,6,1,5,338000,33790,2134,29802.14056563951,28486.412584912407,29468.910848549946
Pepingen,1670,villa,525000,5,205,1,0,0,0,0,0,0,2107,4,1972,1,616,2,367500,33126,2560,30737.61626429479,28791.728096676736,29144.322250639387
Mollem,1730,house,415000,5,247,0,0,1,28,0,0,0,240,3,1967,4,255,2,288000,29699,1680,29802.14056563951,28791.728096676736,29068.10478029937
Halle,1500,house,249000,2,90,1,0,0,0,0,0,0,112,2,1930,2,444,5,308250,30101,2766,29802.14056563951,28486.412584912407,27576.145009416196
Gent,9000,apartment,249000,3,127,1,0,1,2,0,0,0,0,2,1992,1,904,1,335000,27801,1960,26803.13784722222,28927.5390070922,29144.322250639387
Anderlecht,1070,apartment,335000,2,100,1,0,1,21,0,0,0,0,2,2016,5,86,5,220000,21336,3350,26803.13784722222,28486.412584912407,29446.861588481188
Rhode-saint-genese,1640,exceptional-property,2250000,5,455,1,0,1,1,1,1,0,1892,4,1957,3,369,4,530000,32847,4945,29278.095238095237,28224.02819956616,28222.31623931624
Woluwe-saint-pierre,1150,villa,1050000,4,210,1,0,1,12,1,300,0,592,4,1970,0,684,5,465000,29516,5000,30737.61626429479,28486.412584912407,25195.411320754716
Boom,2850,villa,885000,6,363,1,0,0,0,1,600,1,826,4,1995,4,293,3,258000,27780,2438,30737.61626429479,28758.51106301106,29068.10478029937
Mol,2400,apartment,275000,2,88,0,0,0,0,0,0,0,0,2,2004,5,132,5,268000,30380,3125,26803.13784722222,28486.412584912407,29446.861588481188
Ronse,9600,house,145000,3,241,1,0,0,0,1,75,0,450,3,1910,1,634,1,203500,25716,601,29802.14056563951,28927.5390070922,29144.322250639387
Villers-le-bouillet,4530,house,215000,2,125,0,0,1,65,1,475,0,689,3,1949,1,501,2,250805,30281,1720,29802.14056563951,28791.728096676736,29144.322250639387
Beaumont,6500,house,87500,4,135,1,0,0,0,1,1,0,841,2,1773,2,287,1,182500,25231,648,29802.14056563951,28927.5390070922,27576.145009416196
Mortsel,2640,apartment,295000,2,110,1,0,1,13,0,0,0,0,2,2007,6,95,5,339500,31213,2681,26803.13784722222,28486.412584912407,29468.910848549946
Zoerselhalle,2980,villa,695000,3,295,1,0,0,0,0,0,0,2085,4,1972,5,191,3,425000,33080,2355,30737.61626429479,28758.51106301106,29446.861588481188
Wezembeek-oppem,1970,house,495000,3,144,1,0,1,13,1,500,0,828,3,1961,2,450,1,520000,33282,3437,29802.14056563951,28927.5390070922,27576.145009416196
Molenbeek-saint-jean,1080,apartment,235000,2,99,0,0,1,10,0,0,0,0,2,1973,3,204,2,215000,21062,2373,26803.13784722222,28791.728096676736,28222.31623931624
Beringen,3580,house,1295000,4,347,1,0,0,0,0,0,1,1463,4,2016,6,86,3,280000,30584,3731,29802.14056563951,28758.51106301106,29468.910848549946
Waremme,4300,house,250000,3,110,0,0,1,15,1,500,0,805,3,1960,2,419,3,210000,27485,2272,29802.14056563951,28758.51106301106,27576.145009416196
Tournai,7500,apartment,219000,1,78,0,0,0,0,0,0,0,0,1,2024,5,156,4,195000,25518,2807,26803.13784722222,28224.02819956616,29446.861588481188
Etterbeek,1040,duplex,995000,3,220,1,0,1,25,0,0,0,0,2,2023,3,151,4,323500,23665,4522,27281.282442748092,28224.02819956616,28222.31623931624
Opwijk,1745,house,885000,3,276,1,0,1,20,1,1000,1,2100,4,1970,1,709,2,315000,33533,3206,29802.14056563951,28791.728096676736,29144.322250639387
Gent,9000,apartment,999000,4,180,1,0,0,0,1,52,0,0,2,1899,6,68,5,335000,27801,5550,26803.13784722222,28486.412584912407,29468.910848549946
Aalter,9880,apartment,289000,2,102,1,0,1,5,0,0,0,0,2,1987,5,192,5,339500,31959,2833,26803.13784722222,28486.412584912407,29446.861588481188
Amay,4540,house,135000,2,68,1,0,1,15,0,0,0,67,2,1900,2,387,3,200000,27135,1985,29802.14056563951,28758.51106301106,27576.145009416196
Sint-niklaas,9100,apartment,249000,2,90,1,0,1,7,0,0,0,0,2,2008,5,159,3,265000,28267,2766,26803.13784722222,28758.51106301106,29446.861588481188
Lasne,1380,ground-floor,395000,2,98,1,0,1,50,1,300,0,0,3,1971,2,347,5,625000,32121,4030,28347.043859649122,28486.412584912407,27576.145009416196
Harelbeke,8530,house,230000,3,167,1,0,0,0,1,450,0,533,3,1930,3,345,3,235000,30547,1377,29802.14056563951,28758.51106301106,28222.31623931624
Oud-heverlee,3050,house,547000,5,244,0,0,0,0,0,0,0,1400,4,1934,3,395,1,425000,39273,2241,29802.14056563951,28927.5390070922,28222.31623931624
Evere,1140,apartment,364000,2,88,1,0,1,2,0,0,0,0,2,2023,6,45,5,257500,24158,4136,26803.13784722222,28486.412584912407,29468.910848549946
Woluwe-saint-lambert,1200,ground-floor,795000,3,159,1,0,1,28,1,39,0,0,2,1930,4,130,5,369000,27210,5000,28347.043859649122,28486.412584912407,29068.10478029937
Anderlecht,1070,apartment,315000,3,120,1,0,1,8,0,0,0,0,2,1969,4,118,5,220000,21336,2625,26803.13784722222,28486.412584912407,29068.10478029937
Licge,4000,house,329000,3,223,1,0,0,0,0,0,0,204,3,1937,3,304,4,170000,22738,1475,29802.14056563951,28224.02819956616,28222.31623931624
Messancy,6780,house,280000,2,102,0,0,1,45,0,0,0,575,3,1960,1,444,1,310450,36664,2745,29802.14056563951,28927.5390070922,29144.322250639387
Winksele,3020,villa,425000,4,185,1,0,0,0,0,0,0,747,4,1985,3,398,1,380000,36516,2297,30737.61626429479,28927.5390070922,28222.31623931624
Lommel,3920,house,459000,3,193,0,0,0,0,0,0,0,825,4,1983,4,264,3,285000,30215,2378,29802.14056563951,28758.51106301106,29068.10478029937
Lier,2500,house,349000,3,120,0,0,1,8,0,0,0,120,2,1936,6,83,5,290000,29623,2908,29802.14056563951,28486.412584912407,29468.910848549946
Geraardsbergen,9500,house,169500,3,143,0,0,1,15,0,0,0,70,2,1930,4,237,2,238500,29578,1185,29802.14056563951,28791.728096676736,29068.10478029937
Herentals,2200,house,245000,3,154,0,0,1,20,0,0,0,167,2,1934,3,378,3,274000,29831,1590,29802.14056563951,28758.51106301106,28222.31623931624
Molenbeek-saint-jean,1080,apartment,295000,2,104,1,0,1,6,0,0,0,0,2,2005,4,118,5,215000,21062,2836,26803.13784722222,28486.412584912407,29068.10478029937
Tienen,3300,house,329000,5,212,1,0,0,0,0,0,0,676,3,1957,3,378,3,249000,29289,1551,29802.14056563951,28758.51106301106,28222.31623931624
Liege,4000,apartment,75000,1,47,1,0,0,0,0,0,0,0,2,1906,4,198,1,170000,22738,1595,26803.13784722222,28927.5390070922,29068.10478029937
Philippeville,5600,villa,295000,5,232,1,0,1,15,0,0,0,1122,4,1997,2,417,3,160000,26730,1271,30737.61626429479,28758.51106301106,27576.145009416196
Lier,2500,exceptional-property,480000,2,155,0,0,1,30,1,800,0,1066,4,1990,4,289,3,290000,29623,3096,29278.095238095237,28758.51106301106,29068.10478029937
Roeselare,8800,house,275000,4,236,0,0,0,0,0,0,0,350,2,1970,4,225,5,238106,28720,1165,29802.14056563951,28486.412584912407,29068.10478029937
Wetteren,9230,apartment,249000,2,88,1,0,1,9,0,0,0,0,2,2003,4,207,3,280000,30041,2829,26803.13784722222,28758.51106301106,29068.10478029937
Ninove,9400,house,285000,3,125,1,0,1,15,1,50,0,150,2,1918,5,118,4,260000,29589,2280,29802.14056563951,28224.02819956616,29446.861588481188
Eeklo,9900,house,250000,3,122,0,0,0,0,0,0,0,656,2,1952,1,536,1,250000,27380,2049,29802.14056563951,28927.5390070922,29144.322250639387
Bredene,8450,house,315000,3,212,0,0,1,36,1,40,0,190,2,1918,4,292,3,247000,30047,1485,29802.14056563951,28758.51106301106,29068.10478029937
Oostende,8400,apartment,183000,2,86,1,0,1,1,0,0,0,0,2,1994,5,182,3,235000,25991,2127,26803.13784722222,28758.51106301106,29446.861588481188
Welkenraedt,4840,house,349000,4,134,1,0,1,34,0,0,0,500,3,2005,5,134,3,247500,28032,2604,29802.14056563951,28758.51106301106,29446.861588481188
Elversele,9140,villa,825000,4,281,0,0,0,0,0,0,1,1450,4,2001,5,181,5,260000,30536,2935,30737.61626429479,28486.412584912407,29446.861588481188
Merelbeke,9820,house,269000,3,186,0,0,0,0,1,201,0,462,3,1962,1,527,1,375000,34972,1446,29802.14056563951,28927.5390070922,29144.322250639387
Schoten,2900,apartment,398000,2,99,1,0,0,0,0,0,0,0,3,2007,4,223,4,330550,31175,4020,26803.13784722222,28224.02819956616,29068.10478029937
Uccle,1180,villa,2900000,6,450,1,0,1,100,1,1000,0,1574,4,1965,0,446,5,390000,26467,6444,30737.61626429479,28486.412584912407,25195.411320754716
Ixelles,1050,apartment,485000,2,82,1,1,1,12,0,0,0,0,2,2012,3,153,5,350000,23014,5914,26803.13784722222,28486.412584912407,28222.31623931624
Uccle,1180,house,1390000,5,413,0,0,1,38,1,600,1,822,4,1982,1,287,2,390000,26467,3365,29802.14056563951,28791.728096676736,29144.322250639387
Andenne,5300,apartment,124000,1,54,1,0,0,0,0,0,0,0,3,2011,2,370,3,200000,26492,2296,26803.13784722222,28758.51106301106,27576.145009416196
Woluwe-saint-lambert,1200,flat-studio,195000,1,51,1,1,0,0,0,0,0,0,2,1972,3,210,5,369000,27210,3823,25140.745098039217,28486.412584912407,28222.31623931624
Herentals,2200,villa,495000,4,246,0,0,0,0,0,0,0,1518,4,1956,1,818,1,274000,29831,2012,30737.61626429479,28927.5390070922,29144.322250639387
Tienen,3300,apartment,209000,2,98,0,0,0,0,0,0,0,0,2,1990,3,380,5,249000,29289,2132,26803.13784722222,28486.412584912407,28222.31623931624
Lier,2500,house,349000,3,175,0,0,0,0,0,0,0,124,2,1957,3,306,3,290000,29623,1994,29802.14056563951,28758.51106301106,28222.31623931624
Deinze,9800,house,275000,3,138,0,0,0,0,0,0,0,1522,3,1930,1,660,1,320500,31900,1992,29802.14056563951,28927.5390070922,29144.322250639387
Houthalen-helchteren,3530,house,259000,5,273,1,0,0,0,0,0,0,730,3,1940,1,755,1,280000,29822,948,29802.14056563951,28927.5390070922,29144.322250639387
Herzele,9550,house,375000,3,172,0,0,0,0,0,0,0,526,3,1980,5,170,5,300044,32877,2180,29802.14056563951,28486.412584912407,29446.861588481188
Licge,4000,apartment,260000,2,90,1,0,0,0,0,0,0,0,4,2016,5,150,5,170000,22738,2888,26803.13784722222,28486.412584912407,29446.861588481188
Boortmeerbeek-hever,3191,house,685000,3,364,1,0,0,0,0,0,0,574,4,2013,5,112,5,381250,36124,1881,29802.14056563951,28486.412584912407,29446.861588481188
Kapellen,2950,apartment,259000,2,82,1,0,0,0,0,0,0,0,3,1978,3,317,5,365250,33995,3158,26803.13784722222,28486.412584912407,28222.31623931624
Gent,9000,house,495000,7,340,1,0,1,21,0,0,0,151,2,1850,5,136,3,335000,27801,1455,29802.14056563951,28758.51106301106,29446.861588481188
Glimes,1315,house,695000,3,339,0,0,0,0,0,0,0,6246,4,1982,5,162,3,330000,31848,2050,29802.14056563951,28758.51106301106,29446.861588481188
Zottegem,9620,house,350000,3,235,1,0,0,0,0,0,0,181,2,1986,4,258,3,260000,32118,1489,29802.14056563951,28758.51106301106,29068.10478029937
Heusden-zolder,3550,house,285000,3,130,1,0,0,0,0,0,0,360,3,1930,3,384,3,261750,29842,2192,29802.14056563951,28758.51106301106,28222.31623931624
Herselt,2230,house,280000,4,207,0,0,0,0,0,0,0,1026,4,1922,1,859,0,285000,31204,1352,29802.14056563951,28688.571428571428,29144.322250639387
Kalmthout,2920,house,375000,3,186,1,0,0,0,0,0,0,613,4,1962,1,506,2,400000,33167,2016,29802.14056563951,28791.728096676736,29144.322250639387
